,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,End Date of Breach,Individuals Affected,Link to PDF,Location of Breached Information,Name of Entity,Reported Date,Source(s),Start Date of Breach,State Reported,Type of Breach
112,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Great_Lakes_Communication_Corp_22419AF705F3D.pdf,,Great Lakes Communication Corp.,2017-04-06 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
113,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/University_of_Iowa_Community_Credit_6162079588BE7.pdf,,University of Iowa Community Credit Union,2017-04-12 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
114,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Six_Continents_Hotels_Inc_58E9B2467DD2D.pdf,,"Six Continents Hotels, Inc.",2017-04-14 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
115,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Gannett_Company_Inc_9F9AE233E1850.pdf,,"Gannett Company, Inc.",2017-04-28 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
116,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Brooks_Brothers_438E9040B8A13.pdf,,Brooks Brothers,2017-05-11 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
117,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/TALX_Corporation_7083913FA4B8A.pdf,,TALX Corporation,2017-05-15 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
118,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Chipotle_Mexican_Grill_Inc_4CC7CBE746D73.pdf,,Chipotle Mexican Grill Inc.,2017-05-26 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
119,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/BMO_Harris_Bank_6E908DC3996A9.PDF,,BMO Harris Bank,2017-05-31 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
120,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Henniges_Automotive_BB7E97B9C0FAE.pdf,,Hennings Automotive,2017-06-02 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
121,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/GameStop_Inc_4AB946B76F136.pdf,,"GameStop, Inc.",2017-06-05 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
122,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/SMH_Enterprises_LLC_93F0392DDA554.pdf,,SMH Enterprises LLC,2017-06-09 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
123,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Washington_State_University_770A5E7DA41D6.pdf,,Washington State University,2017-06-09 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
124,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/HillPhoenix_1483E7465FA53.pdf,,HillPhoenix,2017-06-20 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
125,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/KayserRoth_Inc_83AC701A84E69.PDF,,"Kayser-Roth, Inc.",2017-06-20 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
126,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Frank_G_1837A9F0F004F.pdf,,"Frank G. Becika, PLC",2017-06-21 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
127,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Calibur_Home_Loans_7D1F8D52CDFAA.pdf,,"Calibur Home Loans, Inc.",2017-06-23 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
128,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Loews_Hotels__Co_B68394CC18C52.pdf,,Loews Hotels & Co.,2017-07-05 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
129,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Keller_Williams_Realty_Inc_5674CBEDD92A7.pdf,,Keller Williams Realty Inc.,2017-07-18 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
130,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Value_Eyecare_Network_Inc_E3A071810CCB4.pdf,,Value Eyecare Networks Inc. dba 39dollarglasses.com,2017-07-21 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
131,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Avanti_Markets_Inc_2691269E75206.pdf,,Avanti Markets Inc.,2017-07-24 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
132,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Equifax_data_breach_AA7E0598553F8.pdf,,Equifax Inc.,2017-09-07 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
133,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Bulletproof_360_Inc_76CC196ECB887.pdf,,"Bulletproof 360, Inc.",2017-09-15 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
134,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/W_4FCD83E1BF572.pdf,,"W. W. Grainger, inc.",2017-09-18 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
135,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Cheddars_Casual_Cafe_Inc_854B1808F033D.pdf,,"Cheddar's Casual Cafe, Inc.",2017-09-29 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
136,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/FlexShopper_LLC_87C0E781FF7DF.pdf,,FlexShopper LLC,2017-10-03 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
137,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Sonic_DriveIn_1EE6129342B45.pdf,,Sonic Corp,2017-10-05 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
138,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Catholic_United_Financial_C7B09748E175B.pdf,,Catholic United Financial,2017-10-06 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
139,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/EquifaxUpdate101217_E131C88B05BFB.pdf,,Equifax Inc (update),2017-10-12 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
140,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Iowa_Lottery_2ACAFE29214CC.pdf,,Iowa Lottery,2017-10-13 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
141,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Pizza_Hut_Corporate_CF37633C79A4F.pdf,,Pizza Hut LLC,2017-10-16 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
142,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Iowa_Dept_DCC96774E981C.pdf,,Iowa Department of Human Services,2017-10-23 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
143,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Tween_Brands_Inc_A6BFD4165EF60.pdf,,"Tween Brands, Inc.",2017-11-03 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
144,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Gallagher_NAC_D9FC58BDAE112.pdf,,"Gallagher NAC (""GNAC"")",2017-11-13 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
145,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Uber_Technologies_Inc_FD2221ADAFA7E.pdf,,"Uber Technologies, Inc.",2017-11-21 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
146,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/IH_Mississippi_Valley_Credit_Union__551179F35D664.pdf,,"IH Mississippi Valley Credit Union (""IHMVCU"")",2017-12-01 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
147,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Forever_21_Inc_97DC6D638149C.pdf,,"Forever 21, Inc.",2017-12-28 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
148,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Deli_Management_Inc_533E914E3BED9.pdf,,"Deli Management, Inc. dba Jason's Deli, Inc.",2018-01-11 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
149,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/Guaranteed_Rate_Inc_31E27EA9FFC7B.pdf,,"Guaranteed Rate, Inc.",2018-01-12 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
150,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/PAR_Electrical_Contractors_Inc_18C583B1E1AD4.pdf,,"PAR Electrical Contractors, Inc.",2018-02-05 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
151,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/022318__Mize_Houser__Company_P_41C8BE8226FA6.pdf,,"Mize Houser & Company, P.A.",2018-02-23 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
152,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/022618_MoneyGram_International_492F28468D3E6.pdf,,"MoneyGram International, Inc.",2018-02-26 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
153,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/022718_FastHealth_Corporation_BC593E160E538.pdf,,FastHealth Corporation,2018-02-27 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
154,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/030118_Centris_Federal_Credit_Union_C682106B3D20B.pdf,,Centris Federal Credit Union,2018-03-01 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
155,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/3_1_18_Equifax_Release_57FAF2457AB92.pdf,,Equifax - Updated information,2018-03-01 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
156,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/032018_Orbitz_8D82B14DCDE12.pdf,,Orbitz,2018-03-20 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
157,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/040618__Blue_Beacon_International__36F6DE9E03DAD.pdf,,Blue Beacon International,2018-04-06 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
158,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/041118__Delta_Airlines_Inc_81510CC6FC048.pdf,,Delta Airlines Inc.,2018-04-11 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
159,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/041218__Polk_County_Health_Services_E55EC3071BF90.pdf,,Polk County Health Services Inc.,2018-04-12 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
160,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/041318__Best_Buy_Co_F61B3BB0A0BFC.pdf,,"Best Buy Co., Inc.",2018-04-13 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
161,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/050218_SunTrust_Banks_Inc_7E181E23BE1CD.pdf,,"SunTrust Banks, Inc.",2018-05-02 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
162,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/050318__Sears_Holdings_Company_6719C0B53918A.pdf,,Sears Holdings Company,2018-05-03 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
163,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/050818__Global_University_E544FFD008C77.pdf,,Global University,2018-05-08 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
164,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/051018__Taco_Johns_of_Iowa_4430BCF902146.pdf,,Taco John's of Iowa,2018-05-10 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
165,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/051418_TaskRabbit_Inc_EE8A8F7A0F3E5.pdf,,"TaskRabbit, Inc.",2018-05-14 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
166,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/051818__Brinker_International_CE1B5C659E651.pdf,,Brinker International,2018-05-18 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
167,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/051818__corporation_Service_Company_131C4BB7EC731.pdf,,Corporation Service Company (CSC),2018-05-18 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
168,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/052218__Updated_Data_Breach_Notific_3A96889DB7AB8.pdf,,"Deli Management, Inc. dba Jason's Deli, Inc. - Updated Information",2018-05-22 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
169,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/060118__Transamerica_Life_Insurance_1C0B2186A3994.pdf,,"Transamerica Life Insurance Company and Transamerica Retirement Solutions, LLC",2018-06-01 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
170,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/060718__AH_2005_Management_LP_B75090AE65225.pdf,,"AH 2005 Management, LP",2018-06-07 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
171,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/060718__Systeme_Software_Inc_B78EE91A29699.pdf,,"Systeme Software, Inc.",2018-06-07 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
172,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/061118__Marion_County_Bank_51A8A08A7DFB6.pdf,,Marion County Bank,2018-06-11 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
173,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/061218__Corporation_Service_Company_086C008F9A006.pdf,,Corporation Service Company (CSC) - Updated Information,2018-06-12 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
174,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/070318__Coty_Inc_CF2216531CBB4.pdf,,"Coty, Inc.",2018-07-03 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
175,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/070618__International_Mission_Board_0DE36C87FC222.pdf,,International Mission Board (IMB),2018-07-06 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
176,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/071318_ComplyRight_Inc_12DFEF77192AB.pdf,,"ComplyRight, Inc.",2018-07-13 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
177,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/071318_Dane_Street_LLC_974C2BCBA7DB4.pdf,,"Dane Street, LLC",2018-07-13 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
178,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/073018_Unity_Point_Health_87A0A0D52C8A3.pdf,,Unity Point Health,2018-07-30 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
179,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/080318__TCM_Bank_N_50328B698B4EA.pdf,,"TCM Bank, N.A.",2018-08-03 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
180,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/082218__Cheddars_Scratch_Kitchen_3BB6E403925FC.PDF,,Cheddar's Scratch Kitchen,2018-08-22 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
181,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/092018__Prudential_Finanial_Inc_11F0457ACA9B2.pdf,,"Prudential Financial, Inc.",2018-09-20 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
182,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/101018__Shein_66BCAC87CB54B.pdf,,Shein,2018-10-10 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
183,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/102518_Bankers_Life_and_Casualty_Co_83AB768C69433.pdf,,Bankers Life and Casualty Company,2018-10-25 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
184,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/110518_Nordstrom_Inc_48EE80D908E6A.pdf,,"Nordstrom, Inc.",2018-11-05 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
185,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/111218_Title_Nine_Sports_Inc_2A4C8095DD60A.pdf,,"Title Nine Sports, Inc.",2018-11-12 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
186,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/111318__Bankers_Breach_Consumer_Let_ACAFE8D3F1B90.pdf,,Bankers Life and Casualty Company - Breach Reporting Page,2018-11-13 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
187,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/111318__Pharmacy_Times_Office_of_Co_BABDD93318165.pdf,,Pharmacy Times Office of Continuing Professional Education,2018-11-13 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
188,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/111518__HealthEquity_Inc_3C2E55349A819.pdf,,"HealthEquity, Inc.",2018-11-15 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
189,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/111518_Newegg_Inc_D959758D7EFEB.pdf,,Newegg Inc.,2018-11-15 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
190,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/111518_Thesy_LLC_2E4AA363A7ECB.pdf,,"Thesy, LLC",2018-11-15 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
191,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/111918__Francescas_Services_Corpora_5BFB2516B25CA.pdf,,Francesca's Services Corporation,2018-11-19 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
192,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/112818__Dunkin_Brands_Inc_BDB118008EF4A.pdf,,Dunkin Brands Inc.,2018-11-28 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
193,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/110718__Unified_Trust_Company_N_A3549FB7D52DF.pdf,,Unified Trust Company N.A.,2018-11-28 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
194,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/111718__LPL_Financial_LLC_2C1615BF30185.pdf,,LPL Financial LLC,2018-11-29 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
195,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/113018__Marriott_Internations_Inc_745012EF7D7B2.pdf,,Marriott International Inc.,2018-11-30 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
196,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/121018__Titan_Manufacturing_and_Dis_CCE064449C897.pdf,,Titan Manufacturing and Distributing Inc.,2018-12-10 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
197,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/122018__Caribou_Coffee_Company_3D2A32C774D6E.pdf,,Caribou Coffee Company,2018-12-20 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
198,,,,,,,https://www.iowaattorneygeneral.gov/media/cms/122118__JAND_Inc_C160B2DEA8605.pdf,,JAND Inc. d/b/a Warby Parker,2018-12-21 00:00:00,https://www.iowaattorneygeneral.gov/for-consumers/security-breach-notifications/,,Iowa,
